Certification,FournisseurPlant,NbAltisePlan,NbChenilleObserve,Grosseur,EmplacementChenille,NbPlantsCecidomyie,StadeDommages,Maladie,NbPlantsMaladie,EmplacementMaladie,QuantiteMaladie,MaladieSecondaire,PresenceMaladieSecondaire,MaladieEmplacementSecondaire,QuantiteMaladieSecondaire,StadeAlternaria,CouleurPlant,Carence,AnneeProduction,QteSemencesMillegrains,PopulationViseeParHa,QtePlantsRequis,TypePlateaux,SurplusPourcent,NbrePlateauxTotal,SuperficieTotaleHa,SuperficieCultiveeHa,RendementLbParHa,NbPlantsObserves,StadeCulture,NbPlantsVersGris,PoidsNet,Rejet_AutresDefauts,RejetDeclassement,Rejet_Dimensions,Rejet_Matiere_Etrangere,FertilizerAmount,IrrigationArea,IrrigationDuration,PesticideAmount,duree_visee,duree_obtenue
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,223,43055.64168,194370,288,0.08,729,5.13,4.51,24250.82,25,14,0,28306,0.06,0,2.8,0.21,365.256,0,0,23.2286,66,70
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,239,43055.64168,208010,288,0.08,781,5.49,4.83,24250.82,25,14,0,31143,0.37,0,2.8,0.13,390.888,0,0,24.8588,66,72
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,233,43055.64168,203085,288,0.08,762,5.36,4.72,24250.82,25,14,0,28046,0.36,0,2.8,0.16,381.632,0,0,24.27,65,69
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,225,43055.64168,196265,288,0.08,736,5.18,4.56,24250.82,25,14,0,13318,0.44,0,2.8,0.12,355.866,0,0,23.455,65,67
0,0,0,0,3,3,0,2,1,2,0,1,1,0,3,3,1,3,0,2019,222,43055.64168,193234,288,0.08,725,5.1,4.49,24250.82,25,16,0,94067,0.32,0,2.8,0.23,1694.8842,0,0,9.1532,67,70
0,0,0,0,3,3,0,2,1,2,0,2,1,0,3,3,1,3,0,2019,210,43055.64168,183004,288,0.08,687,4.83,4.25,24250.82,25,16,0,75975,0.24,0,2.8,0.24,1605.155,0,0,8.6684,67,69
0,0,0,0,3,3,0,2,1,2,0,1,1,0,3,3,1,3,0,2019,214,43055.64168,186035,288,0.08,698,4.91,4.32,24250.82,25,15,0,47609,0.23,0,2.06,0.19,1631.7415,0,0,8.8121,67,69
0,0,0,0,3,3,0,2,1,3,0,2,1,0,3,3,1,3,0,2019,210,43055.64168,183004,288,0.08,687,4.83,4.25,24250.82,25,16,0,74424,0.4,0,2.71,0.22,1605.1551,0,0,8.6687,67,66
0,0,0,0,3,3,0,2,1,2,0,2,1,0,3,3,1,3,0,2019,168,43055.64168,145873,288,0.08,548,3.85,3.39,24250.82,25,15,0,67653,0.24,0,2.69,0.19,1279.4715,0,0,6.9098,66,65
0,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,228,43055.64168,198159,288,0.08,744,5.23,4.6,24250.82,25,15,0,93562,0.33,0,2,0.14,47.07,0,0,9.3237,65,68
0,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,229,43055.64168,198917,288,0.08,746,5.25,4.62,24250.82,25,15,0,96154,0.35,0,1.44,0.14,47.25,0,0,9.331,65,68
0,1,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,7175.94028,0,145.5,0,65.5,1.54,1.54,24250.82,25,15,0,6819,1.11,0,1.25,0.14,15.75,0,0,3.157,36.5,50
0,0,2,3,1,4,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,159,28703.76112,133369,231,0.08,647,5.28,4.65,44092.4,25,12,0,129085,0.81,1.02,1.77,0,52.8,0,0,18.6278,90,86
0,0,2,3,1,4,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,159,28703.76112,133117,231,0.08,646,5.27,4.64,44092.4,25,12,0,90308,1.02,1.73,2.05,0,52.7,0,0,3.8366,90,85
0,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,223,43055.64168,194370,288,0.08,729,5.13,4.51,24250.82,25,14,0,50506,0.13,0,2.8,0.36,46.17,0,0,34.6993,66,71
0,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,200,43055.64168,174289,288,0.08,654,4.6,4.05,24250.82,25,14,0,48349,0.67,0,2,0.3,51.3,0,0,34.6993,66,63
0,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,223,43055.64168,194370,288,0.08,729,5.13,4.51,24250.82,25,14,0,65451,0.64,0,2.49,0.34,46.17,0,0,34.6993,66,63
0,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,221,43055.64168,192097,288,0.08,721,5.07,4.46,24250.82,25,14,0,65257,0.47,0,2.8,0.43,45.63,0,0,34.2935,66,69
0,0,0,3,1,0,0,2,4,1,0,1,1,0,3,3,1,3,0,2019,223,43055.64168,193613,288,0.08,727,5.11,4.5,24250.82,25,11,0,117538,0.61,0,1.11,0.13,250.4728,0,0,40.1034,66,64
0,0,0,3,1,0,0,2,4,1,0,1,1,0,3,3,1,3,0,2019,211,43055.64168,183383,288,0.08,688,4.84,4.26,24250.82,25,11,0,77113,0.67,0,1.37,0.15,237.3382,0,0,37.9844,66,63
